READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
21/04/2017 22.00,0.333919137,0.622613471,0.29845479,0.652502645,0.726060827,0.941179975,0.527396729,0.524710484,0.687775449,0.619819877,0.681816096,0.734908475,0.488988676,0.444077029,0.547262113,0.557310753,0.631533367,0.58953124,0.453071849,0.411459018,0.507065029,0.466149283,0.528231018,0.493099341
21/04/2017 23.00,0.382192273,0.598801564,0.316605938,0.403597884,0.727549549,0.959734378,0.496394569,0.532899137,0.68577316,0.681007597,0.69332642,0.749853366,0.512011254,0.448436523,0.541222446,0.4680795,0.587389099,0.53692957,0.471957067,0.413355731,0.498883093,0.427710535,0.536730418,0.490622712
22/04/2017 00.00,0.437709821,0.621704316,0.291386639,0.510624339,0.745547874,0.956905454,0.483764591,0.530271237,0.687639589,0.639968094,0.693013865,0.739722812,0.492014264,0.440014289,0.520710137,0.408507181,0.502401444,0.412739136,0.450104075,0.402533502,0.47635561,0.468777651,0.576524917,0.473633981
22/04/2017 01.00,0.504149107,0.624496128,0.38915587,0.558580688,0.753378587,0.947253299,0.521043023,0.532434559,0.693586469,0.660641047,0.714278855,0.748009665,0.485162654,0.47060833,0.551828003,0.43395717,0.540379372,0.465682113,0.436150672,0.423066651,0.49608137,0.457955126,0.570262506,0.491434467
22/04/2017 02.00,0.516491071,0.632501967,0.395186235,0.59656217,0.765529808,0.954386761,0.504966412,0.553241242,0.705014477,0.678317706,0.723049101,0.764442648,0.461852121,0.442377916,0.550511419,0.384497095,0.55011587,0.439839356,0.425890046,0.407932198,0.507645895,0.409230549,0.585503044,0.468132799
22/04/2017 03.00,0.592402679,0.63156507,0.374940621,0.497126984,0.776036982,0.976077913,0.48920575,0.567160625,0.732515786,0.621963604,0.745330712,0.791362257,0.456937933,0.447221147,0.56589618,0.452695509,0.561072112,0.481051353,0.424224505,0.41520337,0.525382135,0.454461149,0.563260451,0.482927589
22/04/2017 04.00,0.591875,0.642849387,0.459964238,0.531126984,0.799039474,0.993745215,0.501036988,0.573938398,0.752244302,0.621189266,0.757926338,0.808357169,0.48344492,0.441474163,0.556550851,0.465818881,0.563182776,0.531139588,0.462432207,0.42228569,0.532360622,0.44244161,0.534919267,0.504484177
22/04/2017 05.00,0.724194643,0.667081129,0.412882591,0.617494709,0.825830008,0.989621691,0.517919376,0.600948022,0.773457092,0.643807372,0.794085068,0.83874075,0.476318195,0.442697886,0.551506898,0.453677364,0.602275517,0.570499969,0.485521111,0.451251226,0.562162531,0.429310063,0.569926914,0.539858051
22/04/2017 06.00,0.655364286,0.699313271,0.545234818,0.620465608,0.863417908,1.091676482,0.490701738,0.614961571,0.816427399,0.658401223,0.836948819,0.897738085,0.502974521,0.48025263,0.601356185,0.449490062,0.580825571,0.54071607,0.500694958,0.478076046,0.59863074,0.454080889,0.586757782,0.546238626
22/04/2017 07.00,0.618630357,0.715847604,0.665443994,0.703033069,0.912086589,1.216042485,0.527660565,0.637727744,0.886943687,0.690696531,0.90339526,1.002880467,0.460808551,0.471163939,0.619778086,0.565610238,0.661675708,0.782082791,0.482354374,0.493193944,0.648756777,0.536515609,0.627639533,0.741852953
